No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
149,"Smartphone","Google","Ordem alfabética","j","smartphone jovi v70 5g tela 6.83 256gb câmera 200mp bateria 7000mah azul safira","pt","br","0","-"
150,"Smartphone","Google","Ordem alfabética","j","smartphone jovi y21","pt","br","0","-"
151,"Smartphone","Google","Ordem alfabética","k","smartphone king kong","pt","br","210","0.14"
152,"Smartphone","Google","Ordem alfabética","k","smartphone keyboard","pt","br","70","-"
153,"Smartphone","Google","Ordem alfabética","k","smartphone king kong 9","pt","br","70","0.12"
154,"Smartphone","Google","Ordem alfabética","k","smartphone kalunga","pt","br","0","-"
155,"Smartphone","Google","Ordem alfabética","k","smartphone kyocera","pt","br","0","-"
156,"Smartphone","Google","Ordem alfabética","k","smartphone king kong 8","pt","br","0","-"
157,"Smartphone","Google","Ordem alfabética","k","smartphone k62","pt","br","0","-"
158,"Smartphone","Google","Ordem alfabética","k","smartphone k41s","pt","br","0","-"
159,"Smartphone","Google","Ordem alfabética","k","smartphone k61","pt","br","0","-"
160,"Smartphone","Google","Ordem alfabética","k","smartphone king kong é bom","pt","br","0","-"
161,"Smartphone","Google","Ordem alfabética","k","smartphone k90 pro max","pt","br","0","-"
162,"Smartphone","Google","Ordem alfabética","k","smartphone k90","pt","br","0","-"
163,"Smartphone","Google","Ordem alfabética","k","smartphone kids","pt","br","0","-"
164,"Smartphone","Google","Ordem alfabética","k","smartphone k touch s5","pt","br","0","-"
165,"Smartphone","Google","Ordem alfabética","k","smartphone k90 lamborghini","pt","br","0","-"
166,"Smartphone","Google","Ordem alfabética","l","smartphone lg","pt","br","1.9K","0.19"
167,"Smartphone","Google","Ordem alfabética","l","smartphone lançamento","pt","br","480","0.18"
168,"Smartphone","Google","Ordem alfabética","l","smartphone lenovo","pt","br","390","0.13"
169,"Smartphone","Google","Ordem alfabética","l","smartphone lojas americanas","pt","br","0","-"
170,"Smartphone","Google","Ordem alfabética","l","smartphone lenovo legion","pt","br","0","-"
171,"Smartphone","Google","Ordem alfabética","l","smartphone lg k62","pt","br","0","-"
172,"Smartphone","Google","Ordem alfabética","l","smartphone lg velvet","pt","br","0","-"
173,"Smartphone","Google","Ordem alfabética","l","smartphone linha s","pt","br","0","-"
174,"Smartphone","Google","Ordem alfabética","l","smartphone lg k61","pt","br","0","-"
175,"Smartphone","Google","Ordem alfabética","l","smartphone lenovo legion phone duel 256gb","pt","br","0","-"
176,"Smartphone","Google","Ordem alfabética","l","smartphone linha s samsung","pt","br","0","-"
177,"Smartphone","Google","Ordem alfabética","l","smartphone legion 256 l79031 - red ve r na","pt","br","0","-"
178,"Smartphone","Google","Ordem alfabética","l","smartphone laranja","pt","br","0","-"
179,"Smartphone","Google","Ordem alfabética","l","smartphone lenovo legion phone duel 256gb - vengeance red 5g 12gb ram 6 65 câm. dupl","pt","br","0","-"
180,"Smartphone","Google","Ordem alfabética","l","smartphone lançamento 2026","pt","br","0","-"
181,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 60 pro 5g","pt","br","27.1K","0.35"
